latitude,longitude,address,name,details,borough,type
40.84842752173045,-73.82510496905898,,Pelham Bay Park,In Playground,X,
40.848330198338346,-73.82440503412766,,Pelham Bay Park,Near Ballfield,X,
40.848212545371986,-73.82550535615496,,Pelham Bay Park,In Playground,X,
40.847761214994684,-73.94646281221733,,Fort Washington Park,In Playground,M,
40.847735081695326,-73.92604877071012,,Bridge Park,Out in Open,X,
40.84735684552015,-73.93125717718979,,Highbridge Park,In Playground,M,
40.84712420206664,-73.82570717189672,,Pelham Bay Park,Near Ballfield,X,
40.8470366713112,-73.86151414081283,,Matthews Muliner Playground,In Playground,X,
40.84702092385855,-73.94044467775475,,J. Hood Wright Park,Near Ballfield,M,
40.84687685011491,-73.94138451742538,,J. Hood Wright Park,Out in Open,M,
40.84686681216151,-73.86152388977699,,Matthews Muliner Playground,Under Tree,X,
40.84676632822539,-73.91924559363852,,Half-Nelson Playground,Under Tree,X,
40.84662939584455,-73.92688930813662,,Bridge Park,Out in Open,X,
40.846618680174934,-73.82445540922943,,Pelham Bay Park,Near Ballfield,X,
40.846606203161606,-73.78651981152706,,Hawkins Park,Under Tree,X,
40.84652101929195,-73.91946019820907,,Half-Nelson Playground,"Under Tree, In Playground",X,
40.84648808562664,-73.94217608476151,,J. Hood Wright Park,Out in Open,M,
40.84630797412679,-73.82500507365091,,Pelham Bay Park,Near Ballfield,X,
40.846016233462386,-73.89392334984046,,Tremont Park,Under Tree,X,
40.84592958929141,-73.94090718618112,,J. Hood Wright Park,In Playground,M,
40.84565309806237,-73.91341359467432,,Jennie Jerome Playground,"Under Tree, In Playground",X,
40.84556516341907,-73.90413082012971,,Cleopatra Playground,In Playground,X,
40.84545770534748,-73.92289369247226,,Sedgwick Playground,In Playground,X,
40.84532084113905,-73.90405111042894,,Cleopatra Playground,"Under Tree, In Playground",X,
40.845261423927695,-73.90955937561566,,Morris Mesa,"Under Tree, In Playground",X,
40.844861100319164,-73.8989384642872,,Stop & Go Playground,"Under Tree, In Playground",X,
40.844846045795805,-73.91411831649772,,Jerome Playground South,Out in Open,X,
40.84468835591079,-73.89456014662602,,Tremont Park,Out in Open,X,
40.84437907982047,-73.78352890506903,,Ambrosini Field,Near Ballfield,X,
40.8443337338669,-73.89471522834255,,Tremont Park,"In Playground, Under Tree",X,
40.84429732793301,-73.78393885220133,,Ambrosini Field,Under Tree,X,
40.8442587429981,-73.8847070238111,,Mohegan Triangle,"Out in Open, In Playground",X,
40.844189021840556,-73.78510352510303,,Ambrosini Field,Under Tree,X,
40.84418771623146,-73.88143934742992,,Vidalia Park,"Under Tree, In Playground",X,
40.844178264177515,-73.91958701641846,,West Bronx Recreation Center,Out in Open,X,
40.84387537529521,-73.92254258023917,,Plimpton Playground,"Under Tree, In Shade, In Playground",X,
40.84377971338112,-73.88164445481642,,Vidalia Park,Out in Open,X,
40.84371468520472,-73.91730246202641,,Goble Playground,"Out in Open, In Playground",X,
40.84368313493293,-73.88119633311628,,Vidalia Park,"In Shade, Under Tree",X,
40.84366696373379,-73.88195753353682,,Vidalia Park,,X,
40.843566312973856,-73.86585178844273,,Van Nest Park,Under Tree,X,
40.842933160839564,-73.87756847917687,,Bronx Park,"Out in Open, Just Outside Playground",X,
40.84289266802042,-73.90979300439481,,Mount Eden Malls,Out in Open,X,
40.842724546371436,-73.87780644602857,,Bronx Park,"Out in Open, In Playground",X,
40.84214988394527,-73.933874305617,,Highbridge Park,Out in Open,M,
40.84209560641906,-73.9264281971671,,Highbridge Park,Under Tree,X,
40.842066266533976,-73.94672388244415,,Fort Washington Park,"Out in Open, Near Ballfield",M,
40.841991946231936,-73.94665589220214,,Fort Washington Park,"Out in Open, Near Ballfield",M,
40.84197098129019,-73.89485619139423,,Crotona Park,"Under Tree, Just Outside Playground",X,
40.841790015391666,-73.92377447038982,,Ogden Plimpton Playground,"In Playground, In Shade",X,
40.84163784919937,-73.93822064356422,,Audubon Playground,Out in Open,M,
40.8415698697005,-73.89723090395988,,Crotona Park,"Out in Open, Near Ballfield",X,
40.84155780232045,-73.93791162291717,,Audubon Playground,"Under Tree, In Playground",M,
40.84152386316263,-73.93528949699622,,Highbridge Park,Out in Open,M,
40.841462857992454,-73.90684472089089,,Claremont Park,Out in Open,X,
40.84110416603366,-73.94748355238498,,Fort Washington Park,"In Playground, Out in Open",M,
40.84108925361597,-73.89741589654075,,Crotona Park,In Playground,X,
40.84092944575583,-73.90544543131104,,Claremont Park,"Near Ballfield, Under Tree",X,
40.84076740344876,-73.897527095336,,Crotona Park,"Out in Open, In Playground",X,
40.84065997897491,-73.92669308797224,,Merriam Playground,In Shade,X,
40.84061235789907,-73.8426050906633,,Owen F. Dolen Park,Out in Open,X,
40.8403330599014,-73.92678331459693,,Merriam Playground,"Under Tree, In Shade, In Playground",X,
40.84023897348267,-73.89813659565466,,Crotona Park,Out in Open,X,
40.840231436923766,-73.94776950207634,,Fort Washington Park,"In Playground, Under Tree",M,
40.84009916206388,-73.94007639300138,,Mitchel Square,Out in Open,M,
40.840059680520724,-73.89513299350045,,Crotona Park,Out in Open,X,
40.83991396630199,-73.94791314224202,,Fort Washington Park,"In Playground, In Shade",M,
40.83909548534704,-73.89409488956684,,Crotona Park,Out in Open,X,
40.83906390013497,-73.92605558285564,,Merriam Playground,"Under Tree, In Shade, In Playground",X,
40.83900124426554,-73.86629347062845,,Taylor Playground,In Playground,X,
40.83896486044133,-73.94603057323395,,Fort Washington Park,In Playground,M,
40.83895912327039,-73.85288308299175,,Castle Hill Playground,"In Playground, In Shade, Under Tree",X,
40.83893936525351,-73.92641148704458,,Merriam Playground,"Under Tree, In Shade, In Playground",X,
40.838936747049694,-73.84542565370121,,The Pearly Gates,,X,
40.838835972904626,-73.84577225572814,,The Pearly Gates,"In Playground, Under Tree",X,
40.838727445107025,-73.8933304952267,,Crotona Park,"In Shade, Under Tree",X,
40.838494454853844,-73.89899690401404,,Crotona Park,Out in Open,X,
40.83810030670623,-73.89870519234373,,Crotona Park,"Out in Open, Near Ballfield, In Shade",X,
40.83799059971903,-73.83104981235994,,Bufano Park,"In Playground, Out in Open",X,
40.83795424047758,-73.89352657037647,,Crotona Park,Out in Open,X,
40.83789680223599,-73.89041139095859,,Crotona Park,Out in Open,X,
40.83782001592425,-73.91233501371345,,Grant Park,"Under Tree, In Shade",X,
40.83778159593797,-73.9118017746641,,Grant Park,"Under Tree, In Shade",X,
40.837771433841,-73.90792100771846,,Claremont Park,"In Shade, Under Tree, In Playground",X,
40.8376468543322,-73.87175369655377,,Noble Playground,Near Ballfield,X,
40.837432063895335,-73.85391291288138,,Caserta Playground,In Playground,X,
40.837329535021375,-73.89044369320233,,Crotona Park,"Out in Open, In Playground",X,
40.837264037108845,-73.89458858001399,,Crotona Park,Out in Open,X,
40.83692298538118,-73.89464934917804,,Crotona Park,"Under Tree, In Shade",X,
40.836864241639496,-73.87251557218673,,Noble Playground,"Under Tree, In Playground, Near Ballfield",X,
40.83686403090535,-73.87185006485875,,Noble Playground,"In Playground, In Shade, Near Ballfield",X,
40.83673893722174,-73.87177825742688,,Noble Playground,"In Playground, Under Tree",X,
40.83659810260071,-73.89500318525224,,Crotona Park,Out in Open,X,
40.83648879933417,-73.88787174515127,,Seabury Park,"In Playground, Out in Open",X,
40.83644109685083,-73.89470877555631,,Crotona Park,Out in Open,X,
40.83641351054257,-73.88426792970742,,Eae J Mitchell Park,Out in Open,X,
40.83618063687335,-73.91365078039611,,Grant Park,Out in Open,X,
40.835816802733426,-73.90012295729882,,Crotona Park,"Out in Open, In Playground",X,
40.83580402995683,-73.90330230993078,,Gouverneur Playground,"Out in Open, Just Outside Playground",X,
40.83559354276757,-73.8849367503344,,Rock Garden Park,"Out in Open, Just Outside Playground",X,
40.83528705440973,-73.89630880003988,,Crotona Park,"Out in Open, Near Ballfield",X,
40.83518945697288,-73.8852833745765,,Rock Garden Park,"Out in Open, Just Outside Playground",X,
40.83513635111762,-73.89616853883709,,Crotona Park,Just Outside Playground,X,
40.8350091967338,-73.92658775941331,,Nelson Playground,"Out in Open, In Playground",X,
40.83473484737953,-73.92707279896702,,Nelson Playground,Under Tree,X,
40.83452535353552,-73.87347930753047,,Bronx River Parkway,"In Shade, In Playground",X,
40.83451260489034,-73.87780671522528,,Playground 174,"Under Tree, In Playground",X,
40.83428868309161,-73.87794682763828,,Playground 174,"In Playground, Under Tree",X,
40.834144704171955,-73.8621255159567,,Virginia Playground,,X,
40.834136928107625,-73.92374240277063,,Mullaly Park,Out in Open,X,
40.83395358560671,-73.8826467640672,,Starlight Park,Out in Open,X,
40.833560647628985,-73.86170975779942,,Virginia Park,,X,
40.83342686523247,-73.86256527267528,,Virginia Park,,X,
40.83339070921401,-73.92338266577492,,Mullaly Park,Near Ballfield,X,
40.83331969199249,-73.92417335939491,,Mullaly Park,"Out in Open, Near Ballfield",X,
40.833156743351516,-73.90329275912869,,Drew Playground,"Just Outside Playground, Out in Open",X,
40.833089271617006,-73.92349973602167,,Mullaly Park,Near Ballfield,X,
40.83228284385006,-73.90739973152178,,Morgan Playground,"Out in Open, In Playground",X,
40.83190697157351,-73.90755652017631,,Morgan Playground,"In Shade, Under Tree",X,
40.83165670972687,-73.94157016274394,,Wright Brothers Playground,In Playground,M,
40.831623967598944,-73.94016141572519,,Highbridge Park,"Under Tree, In Playground",M,
