,geometry,name,details,borough
1594,POINT (-73.9954225781911 40.70103054190767),Squibb Park,Out in Open,B
1595,POINT (-73.99677951838612 40.69022294107127),Neighborhood Parks,In Playground,B
1596,POINT (-73.92802643540325 40.7007751699042),Fermi Playground,Near Ballfield,B
1597,POINT (-73.94839232090317 40.75568621616678),Queensbridge Park,Near Ballfield,Q
1598,POINT (-73.84890582122952 40.743151910072015),Flushing Meadows Corona Park,Under Tree,Q
1599,POINT (-73.960257069936 40.81986879118506),West Harlem Piers,Under Tree,M
1600,POINT (-73.84652906806919 40.78555019388712),College Point Park,Under Tree,Q
1601,POINT (-74.0165668101458 40.7168175129862),Battery Park City,"Under Tree, Near Ballfield, In Playground",M
1602,POINT (-73.9687192899927 40.789702967819835),Sol Bloom Playground,"Under Tree, In Shade, Near Ballfield, In Playground",M
1603,POINT (-74.00024480274264 40.71575564165539),Columbus Park,"Under Tree, Near Ballfield",M
1604,POINT (-73.96536638923999 40.77572139925841),Central Park,In Playground,M
1605,POINT (-73.95651213594542 40.78764087657333),Central Park,"In Playground, Out in Open",M
1606,POINT (-74.14585604301018 40.623252796415414),Markham Playground,Near Ballfield,R
1607,POINT (-73.82520201402417 40.79589653081395),Francis Lewis Park,Under Tree,Q
1608,POINT (-73.8798046775525 40.72932937276874),Crowley Playground,In Playground,Q
1609,POINT (-73.91316443841573 40.68153030884563),Marion Hopkinson Playground,Out in Open,B
1610,POINT (-73.85046863486137 40.823573146323525),P.O. Serrano Playground,In Playground,X
1611,POINT (-73.9881717051624 40.572185899941594),Coney Island Beach & Boardwalk,Out in Open,B
1612,POINT (-73.99114051668018 40.69727297599522),Cadman Plaza Park,"Out in Open, Under Tree",B
1613,POINT (-73.91411831649772 40.844846045795805),Jerome Playground South,Out in Open,X
1614,POINT (-73.99368394799326 40.76852114048013),De Witt Clinton Park,Near Ballfield,M
1615,POINT (-73.94662257743325 40.82074145331945),St. Nicholas Park,"In Playground, Near Ballfield",M
1616,POINT (-73.91381058001484 40.648926373288425),Railroad Playground,"Under Tree, In Shade, Out in Open, In Playground",B
1617,POINT (-73.8384997415326 40.74635539492544),Flushing Meadows Corona Park,Under Tree,Q
1618,POINT (-73.7685600457785 40.73606736907291),Cunningham Park,"Near Ballfield, Out in Open",Q
1619,POINT (-73.89044369320233 40.837329535021375),Crotona Park,"Out in Open, In Playground",X
1620,POINT (-73.82116619909428 40.69473655255569),"Phil ""Scooter"" Rizzuto Park",Out in Open,Q
1621,POINT (-73.93469297813947 40.82446994951041),Frederick Johnson Playground,Near Ballfield,M
1622,POINT (-73.93613708418536 40.819768350177576),Col. Young Playground,"Under Tree, Near Ballfield, In Playground",M
1623,POINT (-73.95272119341197 40.72297490963737),McCarren Park,Out in Open,B
1624,POINT (-73.85827884052692 40.698726777982124),Forest Park,Out in Open,Q
1625,POINT (-73.91570277266457 40.88542554764801),Seton Park,Out in Open,X
1626,POINT (-73.80186391202999 40.586408896337076),Rockaway Beach Boardwalk,In Playground,Q
1627,POINT (-73.85165777074732 40.72420627321983),Russell Sage Playground,"Out in Open, In Playground",Q
1628,POINT (-74.01976315903285 40.65241012969738),Bush Terminal Park,Near Ballfield,B
1629,POINT (-73.94465817668626 40.782870467499954),Stanley Isaacs Playground,Under Tree,M
1630,POINT (-73.99971018010369 40.714528993428765),Columbus Park,"Under Tree, Near Ballfield, Just Outside Playground",M
1631,POINT (-73.9186303246327 40.69504773198946),Heckscher Playground,Just Outside Playground,B
1632,POINT (-73.91973900523283 40.88064398851125),Henry Hudson Park,"Out in Open, In Shade",X
1633,POINT (-73.90792100771846 40.837771433841),Claremont Park,"In Shade, Under Tree, In Playground",X
1634,POINT (-73.80122833235477 40.715580303588105),Joseph Austin Playground,In Playground,Q
1635,POINT (-73.88741522970732 40.63477690236194),Bayview Playground,"Under Tree, Out in Open, In Playground",B
1636,POINT (-73.9358060946973 40.59241270675925),Yak Playground,In Playground,B
1637,POINT (-74.10059056640897 40.62747284384049),Silver Lake Park,Near Ballfield,R
1638,POINT (-73.98163998864258 40.72550611041104),Tompkins Square Park,In Playground,M
1639,POINT (-74.00171028197839 40.692898356275464),Brooklyn Bridge Park,Out in Open,B
1640,POINT (-73.83995132432774 40.885151023810266),Stars & Stripes Playground,"Under Tree, In Shade",X
1641,POINT (-73.88540387517719 40.878800341001444),Risse Street Park,Out in Open,X
1642,POINT (-73.77676897272231 40.729756663646874),Cunningham Park,"Near Ballfield, Out in Open",Q
1643,POINT (-73.99947710292629 40.59189694407092),Brooklyn Bay Center,Out in Open,B
1644,POINT (-73.87395157236494 40.678682013620836),City Line Park,"Under Tree, In Playground",B
1645,POINT (-73.93427141695136 40.67407362877864),St. John's Recreation Center,Under Tree,B
1646,POINT (-73.96687797408092 40.71649851415033),Grand Ferry Park,"Under Tree, In Shade",B
1647,POINT (-73.85626653989347 40.7607478290323),Grand Central Parkway Extension,Under Tree,Q
1648,POINT (-73.80917661338648 40.690483541267405),Norelli-Hargreaves Playground,In Playground,Q
1649,POINT (-73.9448958218151 40.61461621605931),Pfc Norton Playground,In Playground,B
1650,POINT (-74.20868715833193 40.53343228615834),Bloomingdale Park,Near Ballfield,R
1651,POINT (-73.8951999663382 40.62916308230436),Canarsie Park,"Near Ballfield, Out in Open",B
1652,POINT (-73.99760818952349 40.73160812283479),Washington Square Park,In Playground,M
1653,POINT (-73.92917803789008 40.674718148725596),Woods Playground,"Just Outside Playground, Under Tree",B
1654,POINT (-73.75927054805454 40.599602473479756),Grassmere Playground,In Playground,Q
1655,POINT (-74.0741207194128 40.57866419653662),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
1656,POINT (-73.8566186995902 40.71423413843654),Ian Maclennan Garden,Out in Open,Q
1657,POINT (-73.9751339863347 40.797173306314114),Riverside Park,Under Tree,M
1658,POINT (-73.97641080129353 40.71289871066743),John V. Lindsay East River Park,"Near Ballfield, In Playground",M
1659,POINT (-73.89876858532305 40.725141737320605),Whitefish Triangle,Under Tree,Q
1660,POINT (-73.9658580337921 40.66165102954667),Prospect Park,In Shade,B
1661,POINT (-74.0791244232181 40.6226771475746),Stapleton Playground,In Playground,R
1662,POINT (-74.04060722373333 40.62817751512402),Shore Park and Parkway,Near Ballfield,B
1663,POINT (-73.85122796612349 40.79346217276748),Macneil Park,In Playground,Q
1664,POINT (-74.00381707995984 40.707895029735944),Pearl St Playground,Out in Open,M
1665,POINT (-73.94320457147904 40.79297086976333),Poor Richard's Playground,"Under Tree, In Playground, Near Ballfield",M
1666,POINT (-73.95984196142675 40.79201082624737),Central Park,"Near Ballfield, Under Tree, In Shade",M
1667,POINT (-73.97531936948485 40.725616302231145),Dry Dock Playground,"Under Tree, In Playground",M
1668,POINT (-74.0043994318115 40.67304795470492),Red Hook Recreation Area,Out in Open,B
1669,POINT (-73.90440943361402 40.67837237885373),Callahan-Kelly Playground,Out in Open,B
1670,POINT (-73.92265880599473 40.747212514322584),Torsney Playground,"Under Tree, In Playground",Q
1671,POINT (-73.95946440193607 40.79075829691986),Central Park,Out in Open,M
1672,POINT (-73.92427327252422 40.793187824755925),Randall's Island Park,Out in Open,M
1673,POINT (-73.89897732942983 40.61982019299928),McGuire Fields,"Near Ballfield, Out in Open",B
1674,POINT (-73.93446937257934 40.79974556890688),Wagner Playground,Near Ballfield,M
1675,POINT (-73.88122414828037 40.88998270424257),Van Cortlandt Park,,X
1676,POINT (-73.9143941909124 40.67528808897894),Saratoga Ballfields,Out in Open,B
1677,POINT (-73.93504336108533 40.76265194119678),Ravenswood Playground,"Near Ballfield, Under Tree",Q
1678,POINT (-73.91702700898063 40.80943328932899),People's Park,"Out in Open, In Playground",X
1679,POINT (-73.82895882937189 40.579499743322444),Rockaway Beach Boardwalk,Out in Open,Q
1680,POINT (-73.79326439134793 40.867481072661164),Pelham Bay Park,Under Tree,X
1681,POINT (-73.8906254067848 40.87628173874877),Harris Park,"Near Ballfield, Out in Open",X
1682,POINT (-73.7617198153448 40.59259416745636),Beach 30th Street Playground,In Playground,Q
1683,POINT (-73.78146735419851 40.70888205781367),Harvard Playground,Out in Open,Q
1684,POINT (-73.94650815269067 40.848643444563194),Fort Washington Park,"Out in Open, In Playground",M
1685,POINT (-74.00521733861537 40.737461747086755),Abingdon Square,Under Tree,M
1686,POINT (-73.80685861088583 40.78304172292213),Clintonville Playground,Under Tree,Q
1687,POINT (-73.94737153124885 40.705659686822216),Sternberg Park,"Under Tree, In Shade, In Playground",B
1688,POINT (-73.98018096002308 40.71965760818021),Hamilton Fish Park,Out in Open,M
1689,POINT (-73.94432434551426 40.829158489361134),Carmansville Park,"In Playground, Near Ballfield",M
1690,POINT (-74.0199006081825 40.64568179119301),Martin Luther Playground,In Playground,B
1691,POINT (-74.09936517338888 40.613246380092406),Terrace Playground,Out in Open,R
1692,POINT (-73.87263754728032 40.732444995041725),Hoffman Park,"Under Tree, In Shade, Out in Open, Near Ballfield",Q
1693,POINT (-73.78196738491047 40.79051762260337),Little Bay Park,Out in Open,Q
1694,POINT (-73.97435315786512 40.66250099053553),Prospect Park,"Out in Open, Near Ballfield",B
1695,POINT (-73.82156301518366 40.665661537148885),Lefferts Playground,In Playground,Q
1696,POINT (-73.97141198187818 40.66553533456187),Prospect Park,,B
1697,POINT (-73.97908453046058 40.697534835317555),Commodore Barry Park,"Under Tree, Just Outside Playground, Out in Open",B
1698,POINT (-73.87698567251869 40.87858980194994),Williamsbridge Oval,"Under Tree, In Playground",X
1699,POINT (-73.76487548011532 40.73870445869435),Cunningham Park,Out in Open,Q
1700,POINT (-74.01642544110179 40.62629859078601),McKinley Park,In Playground,B
1701,POINT (-73.73991365448035 40.741424386485264),Alley Pond Park,Out in Open,Q
1702,POINT (-73.95885366322298 40.76517523139557),St. Catherine's Park,Under Tree,M
1703,POINT (-73.97718437478852 40.7671449391449),Central Park,Out in Open,M
1704,POINT (-73.97869088695323 40.676847366742294),Park Slope Playground,In Playground,B
1705,POINT (-73.85441680836135 40.701215730370286),Forest Park,Under Tree,Q
1706,POINT (-73.79471967166161 40.86449722819361),Pelham Bay Park,Out in Open,X
1707,POINT (-73.96590401654481 40.671914290646335),Mount Prospect Park,"Under Tree, In Playground",B
1708,POINT (-73.75811304500806 40.70004664012317),Daniel M. O'Connell Playground,Out in Open,Q
1709,POINT (-73.88807157021346 40.8059973192779),Barretto Point Park,Just Outside Playground,X
1710,POINT (-73.85518597172653 40.754894224813654),Louis Armstrong Playground,Just Outside Playground,Q
1711,POINT (-73.90135634575167 40.71837816751443),Reiff Playground,"In Shade, Near Ballfield",Q
1712,POINT (-73.89154110487061 40.85081835790007),Quarry Ballfields,"Near Ballfield, Out in Open",X
1713,POINT (-73.91171294926038 40.82087371006465),Flynn Playground,"Out in Open, In Playground",X
1714,POINT (-73.93458610654928 40.80794734464025),Harlem River Park,"Under Tree, In Shade",M
1715,POINT (-73.95612049131351 40.810064611184),Morningside Park,In Playground,M
1716,POINT (-74.01882855450121 40.60468176503449),Dyker Beach Park,Near Ballfield,B
1717,POINT (-73.84363427823479 40.76317241477851),Flushing Meadows Corona Park,Out in Open,Q
1718,POINT (-74.15625157629088 40.60693156670655),Willowbrook Park,Near Ballfield,R
1719,POINT (-73.89089415808847 40.82536320053391),Benjamin Gladstone Square,Under Tree,X
1720,POINT (-73.94157016274394 40.83165670972687),Wright Brothers Playground,In Playground,M
1721,POINT (-73.9349325993517 40.777189534731285),Whitey Ford Field,Near Ballfield,Q
1722,POINT (-73.89516366053529 40.89684671175243),Van Cortlandt Park,Out in Open,X
1723,POINT (-73.76627100776184 40.725434083110905),McLaughlin Playground,In Playground,Q
1724,POINT (-73.9649812524264 40.752479654380984),MacArthur Playground,In Playground,M
1725,POINT (-73.94177526149835 40.57617510226835),Manhattan Beach Park,Out in Open,B
1726,POINT (-73.90880933294608 40.692818159240254),Irving Square Park,"In Playground, Under Tree, In Shade",B
1727,POINT (-74.00296128097798 40.64772028150604),Sunset Park,Near Ballfield,B
1728,POINT (-73.94655315897086 40.57639251741728),Manhattan Beach Park,In Playground,B
1729,POINT (-74.10711200063315 40.61811625609346),Clove Lakes Park,Near Ballfield,R
1730,POINT (-74.01697300639267 40.7117965093786),Battery Park City,"Just Outside Playground, In Shade",M
1731,POINT (-73.98107099824435 40.768413452428284),Central Park,"Under Tree, In Shade",M
1732,POINT (-73.95442622753879 40.71334605942604),Jaime Campiz Playground,"Under Tree, In Playground",B
1733,POINT (-73.82282949466799 40.596011665963495),Broad Channel American Park,Near Ballfield,Q
1734,POINT (-73.91477360378546 40.64997949303397),Railroad Playground,"Out in Open, Near Ballfield",B
1735,POINT (-73.74713980288824 40.768275336691765),Catharine Turner Richardson Park,Under Tree,Q
1736,POINT (-73.96387263344599 40.801224143518894),Booker T. Washington Playground,Near Ballfield,M
1737,POINT (-73.93800743198517 40.695439567692034),Lewis Playground,In Playground,B
1738,POINT (-73.96844416568561 40.65108964018947),Parade Ground,"Out in Open, Near Ballfield",B
1739,POINT (-73.87752709445763 40.878045900402),Williamsbridge Oval,"Just Outside Playground, Under Tree",X
1740,POINT (-73.76716652527739 40.59928904339859),Bayswater Park,Out in Open,Q
1741,POINT (-74.15842316884304 40.60325911644959),Willowbrook Park,Out in Open,R
1742,POINT (-73.76322173517067 40.59219626681655),Beach 30th Street Playground,"Near Ballfield, Out in Open",Q
1743,POINT (-74.00624875509502 40.671346166463145),Red Hook Recreation Area,Out in Open,B
1744,POINT (-73.99249981406554 40.57369129004494),Surf Playground,"Out in Open, In Playground",B
1745,POINT (-73.84742703957433 40.698847983870046),Forest Park,In Playground,Q
1746,POINT (-73.88161341491082 40.824660867484184),Colgate Close,"Under Tree, Near Ballfield",X
1747,POINT (-73.9454310957402 40.57657307277931),Manhattan Beach Park,Out in Open,B
1748,POINT (-73.84655377540341 40.67052206570543),Rocket Park,In Playground,Q
1749,POINT (-74.01905095100709 40.65329673886444),Bush Terminal Park,Near Ballfield,B
1750,POINT (-73.9301892775195 40.872545115647654),Inwood Hill Park,Near Ballfield,M
1751,POINT (-73.98967335627289 40.714419542764944),Seward Park,"Under Tree, In Playground",M
1752,POINT (-73.93689190732788 40.81210337167226),Abraham Lincoln Playground,"In Playground, Under Tree",M
1753,POINT (-73.90717108077371 40.66064204222951),Newport Playground,"Under Tree, In Shade, Near Ballfield",B
1754,POINT (-73.97029350113138 40.57680122923419),Century Playground,"In Playground, Out in Open",B
1755,POINT (-73.98030502273056 40.645837047074366),Albemarle Playground,"In Playground, Out in Open",B
1756,POINT (-73.8392579586479 40.747695932221774),Flushing Meadows Corona Park,Under Tree,Q
1757,POINT (-73.77005092031186 40.735728094906726),Cunningham Park,"Near Ballfield, Out in Open",Q
1758,POINT (-74.13158985177012 40.63680753401404),Veterans Park,Under Tree,R
1759,POINT (-73.72809016145166 40.75634389960585),Challenge Playground,Out in Open,Q
1760,POINT (-73.82331338116805 40.84974402465259),Pelham Bay Park,Near Ballfield,X
1761,POINT (-73.78352890506903 40.84437907982047),Ambrosini Field,Near Ballfield,X
1762,POINT (-73.96463696702435 40.574727748497075),Coney Island Beach & Boardwalk,Out in Open,B
1763,POINT (-73.90172457798958 40.825592575463446),Behagen Playground,"Out in Open, Near Ballfield",X
1764,POINT (-73.92583619253787 40.78388154702856),Wards Island Park,In Playground,M
1765,POINT (-73.75380803217078 40.75881277256347),Alley Pond Park,Out in Open,Q
1766,POINT (-73.98431185276507 40.69855149128342),Trinity Park,"Under Tree, In Shade",B
1767,POINT (-73.9961539922516 40.68138771362188),Carroll Park,"Near Ballfield, In Playground",B
1768,POINT (-73.77426804704893 40.67423475833513),Rochdale Park,Under Tree,Q
1769,POINT (-73.91486326296814 40.831298470249536),Mott Playground,"Under Tree, In Shade, In Playground",X
1770,POINT (-74.0907613264845 40.56938516930025),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
1771,POINT (-73.91814163216318 40.820504307538265),Melrose Playground,"Out in Open, In Playground",X
1772,POINT (-73.81482626014056 40.743451118919296),Kissena Corridor Park,In Playground,Q
1773,POINT (-73.87042642797147 40.818542107761154),Soundview Park,In Playground,X
1774,POINT (-73.75880682340834 40.65745542789175),Idlewild Park,Near Ballfield,Q
1775,POINT (-73.94539616551698 40.576583264527365),Manhattan Beach Park,Out in Open,B
1776,POINT (-74.0201680078534 40.60649034479076),Dyker Beach Park,Near Ballfield,B
1777,POINT (-73.99248876480674 40.72029908198635),Sara D. Roosevelt Park,Under Tree,M
1778,POINT (-73.98440358816161 40.71218109610868),Lillian D Wald Playground,"Under Tree, Near Ballfield, In Playground",M
1779,POINT (-73.95889976349895 40.78449107457461),Central Park,Out in Open,M
1780,POINT (-73.97845337173237 40.69751218806838),Commodore Barry Park,"Under Tree, Just Outside Playground",B
1781,POINT (-73.91233501371345 40.83782001592425),Grant Park,"Under Tree, In Shade",X
1782,POINT (-73.96952212470076 40.784007281298216),Central Park,In Playground,M
1783,POINT (-73.9768924188707 40.768237610645656),Central Park,"Under Tree, Out in Open",M
1784,POINT (-73.9224811578288 40.77804380305982),Astoria Park,"Under Tree, Out in Open",Q
1785,POINT (-73.95404787149685 40.79660140954858),Central Park,Out in Open,M
1786,POINT (-73.85511186724138 40.75672352938145),Hinton Park,Out in Open,Q
1787,POINT (-73.82390796922903 40.721849275806946),Queens Valley Playground,In Playground,Q
1788,POINT (-73.85244632456761 40.84960550930665),Loreto Playground,In Playground,X
1789,POINT (-73.92377447038982 40.841790015391666),Ogden Plimpton Playground,"In Playground, In Shade",X
1790,POINT (-74.0673940294702 40.58844174027426),Franklin D. Roosevelt Boardwalk and Beach,In Playground,R
1791,POINT (-73.9946988192302 40.768274722923586),De Witt Clinton Park,"Under Tree, Near Ballfield, Just Outside Playground",M
1792,POINT (-73.8985511381556 40.61876742457104),Belt Parkway/Shore Parkway,"Near Ballfield, Out in Open",B
1793,POINT (-73.94132833563022 40.825868069097886),Jackie Robinson Park,"In Playground, Under Tree",M
1794,POINT (-73.88091138423775 40.665926732970924),Elton Playground,In Playground,B
1795,POINT (-73.96338411130318 40.712717481392204),Berry Playground,"Under Tree, In Playground, In Shade",B
1796,POINT (-73.80702377787107 40.66743845292785),Police Officer Edward Byrne Park,Under Tree,Q
1797,POINT (-73.90153190019416 40.815267806963384),Playground 52 LII,Just Outside Playground,X
1798,POINT (-73.999077630305 40.692230730398954),Adam Yauch Park,"Under Tree, Out in Open",B
1799,POINT (-73.88903778903499 40.85329052582363),D'Auria-Murphy Triangle,Under Tree,X
1800,POINT (-73.94229465994451 40.797258312705345),James Weldon Johnson Playground,"Under Tree, In Playground, Near Ballfield",M
1801,POINT (-74.00095375624056 40.6922697817887),Brooklyn Bridge Park,"In Shade, Just Outside Playground",B
1802,POINT (-73.95813400530048 40.72874487847279),American Playground,"Under Tree, In Playground",B
1803,POINT (-73.89661802864957 40.82733337962374),Rev J Polite Playground,Near Ballfield,X
1804,POINT (-74.11157075745267 40.5615698273558),Dugan Playground,In Playground,R
1805,POINT (-73.86797644038562 40.86846936922074),Parkside Playground,Under Tree,X
1806,POINT (-73.91173560511743 40.664259953544004),Betsy Head Park,Out in Open,B
1807,POINT (-73.83894612994325 40.873576595333205),Haffen Park,"In Playground, Under Tree, In Shade",X
1808,POINT (-73.96542565993619 40.662459871153956),Prospect Park,Out in Open,B
1809,POINT (-73.79347809753679 40.86804775814942),Pelham Bay Park,Out in Open,X
1810,POINT (-73.7178716812831 40.73295059385731),Bellerose Playground,In Playground,Q
1811,POINT (-73.84738040081821 40.74323885908301),Flushing Meadows Corona Park,Near Ballfield,Q
1812,POINT (-74.01232169608717 40.612558420633995),Dyker Beach Park,In Playground,B
1813,POINT (-73.88696172440578 40.7440914594426),Frank D. O'Connor Playground,In Playground,Q
1814,POINT (-73.94955699521634 40.721143181085026),McCarren Park,Just Outside Playground,B
1815,POINT (-73.85175384529441 40.731173004916464),Annadale Playground,Out in Open,Q
1816,POINT (-73.93528949699622 40.84152386316263),Highbridge Park,Out in Open,M
1817,POINT (-73.99651593210916 40.68985106375571),Neighborhood Parks,Out in Open,B
1818,POINT (-73.92192201095695 40.76799405392142),Athens Square,In Playground,Q
1819,POINT (-73.98221826106425 40.68527004792533),North Pacific Playground,"Out in Open, In Playground",B
1820,POINT (-73.83456833058254 40.75084338139443),Kissena Corridor Park,Near Ballfield,Q
1821,POINT (-73.83718979603215 40.73352747588953),Flushing Meadows Corona Park,Out in Open,Q
1822,POINT (-73.78940838596228 40.67485756854235),Baisley Pond Park,In Playground,Q
1823,POINT (-73.98098658645291 40.726389636946),Tompkins Square Park,Under Tree,M
1824,POINT (-73.85788090808396 40.70040469915145),Forest Park,Out in Open,Q
1825,POINT (-73.95012889166465 40.78098256649566),Ruppert Park,In Playground,M
1826,POINT (-74.0000698206277 40.7148252256606),Columbus Park,Near Ballfield,M
1827,POINT (-73.9639327877995 40.77729441741716),Central Park,"Under Tree, In Shade",M
1828,POINT (-74.01769289412715 40.67843448829997),Valentino Pier,Out in Open,B
1829,POINT (-74.01575650841525 40.71791038307982),Battery Park City,Under Tree,M
1830,POINT (-73.93595223815682 40.824956567831826),Frederick Johnson Playground,"Under Tree, In Playground, Near Ballfield",M
1831,POINT (-73.97700295092757 40.69250472995406),Fort Greene Park,"In Playground, Under Tree",B
1832,POINT (-73.88610686697074 40.65892069482801),Linden Park,Under Tree,B
1833,POINT (-73.95650913711836 40.7085921648418),Rodney Park Center,Under Tree,B
1834,POINT (-73.92206649732184 40.74721062563603),Torsney Playground,Out in Open,Q
1835,POINT (-73.98671084156186 40.57240692528942),Coney Island Beach & Boardwalk,Out in Open,B
1836,POINT (-73.98894023047983 40.584223956205605),Coney Island Boat Basin,"Out in Open, Near Ballfield",B
1837,POINT (-73.99277339645442 40.76119691046304),Mathews-Palmer Playground,"In Shade, Under Tree",M
1838,POINT (-73.88760582665437 40.6586457122333),Linden Park,Under Tree,B
1839,POINT (-73.94178549062367 40.66271046703335),Hamilton Metz Field,Near Ballfield,B
1840,POINT (-73.94715075074868 40.705999358588336),Sternberg Park,"Under Tree, Near Ballfield, Just Outside Playground",B
1841,POINT (-73.82018460224938 40.60050144793991),Broad Channel Park,In Playground,Q
1842,POINT (-74.07621214519354 40.62704697371175),Tappen Park,Under Tree,R
1843,POINT (-73.96720753479192 40.70623066357683),Roberto Clemente Ballfield,"Under Tree, In Shade, Near Ballfield",B
1844,POINT (-73.91590629574951 40.79627919391827),Randall's Island Park,Near Ballfield,M
1845,POINT (-74.0141266572305 40.716622715731745),Battery Park City,"In Shade, Near Ballfield",M
1846,POINT (-73.97705649093237 40.717243252463206),Baruch Playground,"Under Tree, In Playground, Near Ballfield",M
1847,POINT (-73.94587805040527 40.79151916176889),White Park,"In Playground, Near Ballfield",M
1848,POINT (-73.96112178136023 40.79583424554979),Central Park,Out in Open,M
1849,POINT (-73.95464171035016 40.682323027936825),John Hancock Playground,Near Ballfield,B
1850,POINT (-73.7746558503163 40.7062884981571),Peters Field,Under Tree,Q
1851,POINT (-73.88657843724127 40.85603078420298),Ciccarone Park,"Under Tree, Out in Open, In Playground",X
1852,POINT (-74.01606693330898 40.7131296418912),Battery Park City,Out in Open,M
1853,POINT (-73.78722928392247 40.74464216606593),Kissena Corridor Park,In Playground,Q
1854,POINT (-73.96642107026518 40.774483330205186),Central Park,"Under Tree, In Shade",M
1855,POINT (-73.91426282534998 40.67541522676692),Saratoga Ballfields,Just Outside Playground,B
1856,POINT (-73.95606807730273 40.575402483605004),Coney Island Beach & Boardwalk,Out in Open,B
1857,POINT (-73.78838490452105 40.67056174366747),Baisley Pond Park,Near Ballfield,Q
1858,POINT (-73.82693166161359 40.66594638731877),Southern Fields,Under Tree,Q
1859,POINT (-74.01730529051528 40.606009444782046),Dyker Beach Park,Just Outside Playground,B
1860,POINT (-73.94665589220214 40.841991946231936),Fort Washington Park,"Out in Open, Near Ballfield",M
1861,POINT (-73.8976848621662 40.63811666430968),Sledge Playground,"In Playground, Out in Open",B
1862,POINT (-73.97495635726848 40.765452167590155),Central Park,"Under Tree, In Shade",M
1863,POINT (-73.90232912323552 40.73803649477713),Nathan Weidenbaum Park,"Under Tree, In Playground",Q
1864,POINT (-73.77366642828439 40.729573608920624),Cunningham Park,"Out in Open, Near Ballfield",Q
1865,POINT (-74.0769612807298 40.578459369493174),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
1866,POINT (-73.8491656078962 40.67197359994267),Tudor Park,Near Ballfield,Q
1867,POINT (-74.09099457347082 40.567896391087515),Franklin D. Roosevelt Boardwalk and Beach,Under Tree,R
1868,POINT (-73.95910028822347 40.79730041325291),Central Park,Out in Open,M
1869,POINT (-73.90248423793292 40.65649508203358),Brownsville Playground,Near Ballfield,B
1870,POINT (-73.79440808857389 40.86588424927547),Pelham Bay Park,Out in Open,X
1871,POINT (-73.74975853084624 40.61110291135015),Redfern Playground,Near Ballfield,Q
1872,POINT (-74.23021279236576 40.50958957135803),Aesop Park,In Playground,R
1873,POINT (-73.97758931659271 40.71173797805039),John V. Lindsay East River Park,Near Ballfield,M
1874,POINT (-73.80195861429867 40.75565172851566),The Olde Towne of Flushing Burial Ground,In Playground,Q
1875,POINT (-73.90382316055147 40.66424657550857),Van Dyke Playground,"Under Tree, In Shade",B
1876,POINT (-73.80842593808578 40.79188779535003),Whitestone Playground,"In Playground, Out in Open",Q
1877,POINT (-73.93388181445222 40.67370012305305),St. John's Recreation Center,Out in Open,B
1878,POINT (-73.77739339549608 40.7351563734826),Farm Playground,"Just Outside Playground, Out in Open",Q
1879,POINT (-73.93351145663559 40.63681534994446),Chiarantano Playground,"Out in Open, In Playground",B
1880,POINT (-73.91946019820907 40.84652101929195),Half-Nelson Playground,"Under Tree, In Playground",X
1881,POINT (-73.77515228768256 40.68009443166563),North Rochdale Playground,Just Outside Playground,Q
1882,POINT (-73.85247531429904 40.75966830792659),Flushing Meadows Corona Park,Out in Open,Q
1883,POINT (-73.89874120557413 40.81480527701679),Fox Playground,In Playground,X
1884,POINT (-73.98474554566347 40.62351792923794),Gravesend Park,Near Ballfield,B
1885,POINT (-74.00145474976613 40.595620500643776),Bensonhurst Park,Out in Open,B
1886,POINT (-73.92910050456388 40.78395822338632),Wards Island Park,Near Ballfield,M
1887,POINT (-73.91480586729676 40.887707993519626),Riverdale Playground,,X
1888,POINT (-73.84430957021617 40.745571732202635),Flushing Meadows Corona Park,Under Tree,Q
1889,POINT (-73.8945295242576 40.85253331723024),Charles W Cooke Farm Garden,"Just Outside Playground, Out in Open",X
1890,POINT (-74.03863484088221 40.63200121563924),Shore Park and Parkway,Under Tree,B
1891,POINT (-73.97341335822647 40.72044885495972),John V. Lindsay East River Park,"Near Ballfield, Just Outside Playground",M
1892,POINT (-74.0159385544575 40.61141176380431),Dyker Beach Park,Near Ballfield,B
1893,POINT (-73.91204487795996 40.696177897795046),Bushwick Playground,"Just Outside Playground, Near Ballfield",B
1894,POINT (-73.99952437937891 40.689641259904235),Van Voorhees Park,In Playground,B
1895,POINT (-73.96570801781375 40.67657431937618),Underhill Playground,"Under Tree, In Playground",B
1896,POINT (-73.91941688318893 40.62500755214479),Jacob Joffe Fields,"Out in Open, Near Ballfield",B
1897,POINT (-74.03015410824793 40.612995437455545),John J Carty Park,In Playground,B
1898,POINT (-73.97572915205023 40.7137367921152),John V. Lindsay East River Park,Out in Open,M
1899,POINT (-73.95584492031705 40.70978703072111),Rodney Playground Center,"Under Tree, In Shade",B
1900,POINT (-73.93457353930856 40.70600926460793),Gilbert Ramirez Park,"Under Tree, In Playground",B
1901,POINT (-73.76514013381069 40.73916581521502),Cunningham Park,"In Playground, Near Ballfield",Q
1902,POINT (-73.83610438407652 40.57775644395045),Rockaway Beach,Out in Open,Q
1903,POINT (-73.949243766736 40.76988883003371),John Jay Park,Under Tree,M
