,geometry,name,details,borough
2717,POINT (-73.7951884576701 40.693855615650705),Marconi Park,In Playground,Q
2718,POINT (-74.0906063593984 40.56887191924809),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
2719,POINT (-73.90885126413168 40.8572902856671),Aqueduct Walk,"Under Tree, In Playground",X
2720,POINT (-73.99140235682944 40.759155398390774),McCaffrey Playground,"In Playground, Near Ballfield, Under Tree",M
2721,POINT (-73.9804587045632 40.72654988058499),Tompkins Square Park,"Just Outside Playground, Near Ballfield",M
2722,POINT (-73.7593434797583 40.657091983574176),Idlewild Park,Near Ballfield,Q
2723,POINT (-73.92737315143519 40.68032840399418),Jackie Robinson Park,"In Playground, Under Tree",B
2724,POINT (-73.86486648950314 40.695622477873755),Forest Park,In Playground,Q
2725,POINT (-73.8824442256074 40.87777559860616),Mosholu Parkway,"Out in Open, In Playground",X
2726,POINT (-73.81054256467674 40.71087608687077),Briarwood Playground,In Playground,Q
2727,POINT (-73.85193049271551 40.84860091201041),Loreto Playground,Under Tree,X
2728,POINT (-73.97700431056619 40.76891379053149),Central Park,In Playground,M
2729,POINT (-73.92952529477165 40.874279839414406),Inwood Hill Park,Out in Open,M
2730,POINT (-73.98781148599002 40.68464971084134),Nicholas Naquan Heyward Jr. Park,Just Outside Playground,B
2731,POINT (-73.98441728356667 40.67262218893638),J.J. Byrne Playground,In Playground,B
2732,POINT (-73.9147264342499 40.82735827816278),Arcilla Playground,"Under Tree, In Shade, In Playground",X
2733,POINT (-73.90906618813503 40.81994893763634),Grove Hill Playground,"Out in Open, In Playground",X
2734,POINT (-73.82375812542291 40.78449051323328),Harvey Park,Under Tree,Q
2735,POINT (-73.87808108966506 40.81735205924633),Soundview Park,Near Ballfield,X
2736,POINT (-73.97766443733022 40.7707791411441),Central Park,"Near Ballfield, Under Tree, Out in Open",M
2737,POINT (-73.9993634877068 40.68968000190902),Van Voorhees Park,In Playground,B
2738,POINT (-73.88816438703891 40.82263346186214),Lyons Square Park,In Playground,X
2739,POINT (-73.89035591125649 40.86207078169789),Rose Hill Park,"Under Tree, Out in Open",X
2740,POINT (-74.09850218311765 40.57667495487745),Midland Field,Near Ballfield,R
2741,POINT (-73.8995132916809 40.64679552343491),100% Playground,"Out in Open, Just Outside Playground",B
2742,POINT (-73.93490670006025 40.78529847708124),Wards Island Park,Near Ballfield,M
2743,POINT (-73.99128756218997 40.72262292613464),Sara D. Roosevelt Park,"Under Tree, Just Outside Playground, Near Ballfield",M
2744,POINT (-73.9709548087863 40.768585911646376),Central Park,"Under Tree, In Shade",M
2745,POINT (-73.95870407929567 40.78432795172198),Central Park,Out in Open,M
2746,POINT (-74.0145772268653 40.61303631182941),Dyker Beach Park,Near Ballfield,B
2747,POINT (-73.80754588244689 40.78301747850972),Clintonville Playground,"Under Tree, In Playground",Q
2748,POINT (-73.87170657629133 40.82134085191524),Bronx River Parkway,"Out in Open, Near Ballfield",X
2749,POINT (-73.98396117935147 40.71438002083011),Sol Lain Plgd,"Under Tree, In Playground, Near Ballfield",M
2750,POINT (-73.88596859185687 40.68391174539306),Highland Park,In Playground,B
2751,POINT (-73.96339296751353 40.655488151764644),Prospect Park,,B
2752,POINT (-73.7705381967542 40.73671596998186),Cunningham Park,"Out in Open, Near Ballfield",Q
2753,POINT (-73.90142518719446 40.815396551758234),Playground 52 LII,In Shade,X
2754,POINT (-74.1193403873155 40.63769261526999),CPL. Thompson Park,Near Ballfield,R
2755,POINT (-73.89361686546435 40.85581549091682),Washington Park,"Under Tree, Out in Open",X
2756,POINT (-73.93744957976966 40.825268729845256),Bill Bojangles Robinson Playground,"In Playground, Near Ballfield",M
2757,POINT (-74.00136473977179 40.69270374744473),Brooklyn Bridge Park,"In Playground, Out in Open",B
2758,POINT (-73.95498148124406 40.79648707500236),Central Park,Out in Open,M
2759,POINT (-73.98542574987063 40.70078332022008),Bridge Park,"In Playground, Out in Open",B
2760,POINT (-73.84983070520697 40.81927237757935),Randall Playground,"In Shade, In Playground",X
2761,POINT (-73.83982731919154 40.7445297388123),Flushing Meadows Corona Park,Under Tree,Q
2762,POINT (-73.92254258023917 40.84387537529521),Plimpton Playground,"Under Tree, In Shade, In Playground",X
2763,POINT (-73.94978316508032 40.78084292860075),Ruppert Park,Out in Open,M
2764,POINT (-73.89831066612412 40.61911519419054),Belt Parkway/Shore Parkway,"Near Ballfield, Out in Open",B
2765,POINT (-73.94220192581601 40.805275304174636),Marcus Garvey Park,"Under Tree, In Playground",M
2766,POINT (-73.88037723912375 40.66621622169504),Linwood Playground,In Playground,B
2767,POINT (-73.8389212608685 40.87323548493178),Haffen Park,"Under Tree, In Shade, In Playground",X
2768,POINT (-73.97006464737788 40.64920368991551),Parade Ground,"Under Tree, Near Ballfield, In Shade",B
2769,POINT (-73.94711273044904 40.756955545493604),Queensbridge Park,In Playground,Q
2770,POINT (-73.71760816260542 40.732614983276356),Bellerose Playground,Near Ballfield,Q
2771,POINT (-73.84890890045364 40.74312229279526),Flushing Meadows Corona Park,Under Tree,Q
2772,POINT (-73.80919320221192 40.667369820355006),Police Officer Edward Byrne Park,Near Ballfield,Q
2773,POINT (-73.97172197641271 40.60046504384507),McDonald Playground,Out in Open,B
2774,POINT (-74.040028961116 40.61754542718684),Shore Park and Parkway,In Playground,B
2775,POINT (-73.88662915991742 40.74438993084635),Frank D. O'Connor Playground,"In Playground, Just Outside Playground",Q
2776,POINT (-73.86798824635791 40.87350074722652),Magenta Playground,In Playground,X
2777,POINT (-73.98915271503766 40.572370580896894),Coney Island Beach & Boardwalk,"In Playground, Out in Open",B
2778,POINT (-73.83054381071945 40.58067309059424),Seaside Playground,In Playground,Q
2779,POINT (-73.80836967900298 40.726334859214646),Playground Seventy Five,In Playground,Q
2780,POINT (-73.8581515062461 40.86249444456085),Mazzei Playground,Under Tree,X
2781,POINT (-73.90108797647314 40.82545794642491),Behagen Playground,"Under Tree, Just Outside Playground",X
2782,POINT (-73.99423318027853 40.76848586593887),De Witt Clinton Park,"Near Ballfield, Just Outside Playground",M
2783,POINT (-73.94226083090956 40.82467312187073),Jackie Robinson Park,"In Shade, In Playground",M
2784,POINT (-73.94041484822417 40.6626920691779),Hamilton Metz Field,"Out in Open, Just Outside Playground",B
2785,POINT (-73.96053471375792 40.69512051652624),Taaffe Playground,In Playground,B
2786,POINT (-73.89105328147102 40.65180993238099),Breukelen Ballfields,"Out in Open, Near Ballfield",B
2787,POINT (-73.78751668940089 40.67263031879845),Baisley Pond Park,In Playground,Q
2788,POINT (-74.14615890942072 40.62324468169039),Markham Playground,In Playground,R
2789,POINT (-73.989357936427 40.71518727295625),Seward Park,"Near Ballfield, Just Outside Playground, Under Tree",M
2790,POINT (-73.97189095458897 40.788779675831215),Playground Eighty Nine LXXXIX,"Under Tree, In Playground",M
2791,POINT (-74.00123219921704 40.7549674285325),Hudson Park,Out in Open,M
2792,POINT (-73.94976698905515 40.72077612516521),McCarren Park,"Under Tree, Just Outside Playground",B
2793,POINT (-73.80716755410685 40.58607201064845),Rockaway Beach Boardwalk,In Playground,Q
2794,POINT (-73.79972674474777 40.586537132516256),Rockaway Beach and Boardwalk,Out in Open,Q
2795,POINT (-73.97826735112393 40.73974279375072),Bellevue South Park,Just Outside Playground,M
2796,POINT (-73.98427416342837 40.73440133891812),Stuyvesant Square,"Out in Open, Under Tree",M
2797,POINT (-73.99971727768617 40.7152989135713),Columbus Park,"Near Ballfield, Under Tree",M
